Unnamed: 0,tweets,time,language,translated_tweets
344,La richesse magique je suppose...,2022-01-05 15:14:10+00:00,"((0, 33, 'ENGLISH', 'en'),)",NA
345,Le fait de vivre plus longtemps fait que nous auront bientôt moins de 3 actifs par retraité...refuser de discuter de l'âge de la retraite c'est un peu comme jouer au jeu de l'avion ! Les derniers à entrer dans le jeu seront perdant !,2022-01-05 13:58:19+00:00,"((0, 237, 'FRENCH', 'fr'),)",[{'translation_text': 'The fact of living longer means that we will soon have less than 3 assets per retiree...refusing to discuss retirement age is a bit like playing the game of the plane! The last to enter the game will lose!'}]
346,Quel intéressant mélange...peut-on aussi parler de conservatisme dogmatique pour ceux qui refusent toute révision de l'AVS en laissant les problèmes aux générations futurs?,2022-01-05 09:44:26+00:00,"((0, 178, 'FRENCH', 'fr'),)",[{'translation_text': 'What interesting mix...can we also talk about dogmatic conservatism for those who refuse any revision of the AVS by leaving the problems to future generations?'}]
347,"(fin) Bref c'est un on sens économique, une solution à haut risque qui ne sera jamais prête pour 2050 et une montagne de problèmes que l'on reporte sur les générations futurs, incapable que nous sommes à les résoudre.",2022-01-03 05:49:16+00:00,"((0, 225, 'FRENCH', 'fr'),)","[{'translation_text': '(Finally) In short, it is an economic sense, a high-risk solution that will never be ready for 2050 and a mountain of problems that are postponed to future generations, incapable that we are to solve them.'}]"
348,"3/3 Dans le canton de Vaud nous sommes incapable de trouver un endroit pour entreposer nos mâchefers, je me réjouis de voir où nous allons entreposer les déchets. Avant d'en produire des nouveaux, occupons nous des actuels !",2022-01-03 05:47:41+00:00,"((0, 228, 'FRENCH', 'fr'),)","[{'translation_text': '3/3 In the canton of Vaud we are unable to find a place to store our chewers, I am delighted to see where we will store the waste. Before producing new ones, let us take care of the current ones!'}]"
349,"2/3 Les anglais mettent en place une RPC pour leur nouvelle centrale et quand on voit les estimations des coûts de démantèlement on s'étouffe, qui va donc payer la facture ? Au niveau risques, il n'est pas nécessaire de savoir si un accident va avoir lieu mais quand!",2022-01-03 05:45:31+00:00,"((0, 272, 'FRENCH', 'fr'),)","[{'translation_text': '2/3 The English put in place a CPP for their new plant and when we see the cost estimates of dismantling we choke, who will pay the bill? At the level of risk, it is not necessary to know whether an accident will take place but when!'}]"
350,"1/3 Le dit fleuron de l'économie française est incapable de construire une nouvelle centrale nucléaire, de plus cette industrie est une véritable industrie d'Etat au vu des soutiens manifs obtenus. En Suisse aucun producteur d'électricité n'est prêt à se lancer!",2022-01-03 05:43:00+00:00,"((0, 270, 'FRENCH', 'fr'),)","[{'translation_text': '1/3 The so-called flagship of the French economy is unable to build a new nuclear power plant, moreover this industry is a genuine state industry in view of the manipulative support obtained. In Switzerland no electricity producer is ready to launch!'}]"
351,Surtout le système électoral vaudois ne respecte toujours pas l'arrêté du tribunal fédéral sur le quorum naturel...comme le système électoral fédéral d'ailleurs.,2021-12-24 13:38:55+00:00,"((0, 171, 'FRENCH', 'fr'),)","[{'translation_text': ""Especially the Voodoo electoral system still does not comply with the Federal Court's decree on the natural quorum...as the federal electoral system does.""}]"
352,Par cynisme...il rit!,2021-12-24 05:46:07+00:00,"((0, 21, 'Unknown', 'un'),)",NA
353,"Si on empêche l'humour de révéler nos dérives, comment va-t-on les empêcher ?
Desproges doit être mort de rire en nous observant de là-haut.",2021-12-23 09:03:27+00:00,"((0, 147, 'FRENCH', 'fr'),)","[{'translation_text': 'If we stop humor from revealing our drifts, how are we going to stop them? Desproges must have died of laughing by watching us from up there.'}]"
354,Un peu jaloux...il va falloir que je travaille sérieusement mes textes en 2022...,2021-12-19 12:55:43+00:00,"((0, 82, 'FRENCH', 'fr'),)","[{'translation_text': ""A little jealous... I'll have to work seriously on my texts in 2022...""}]"
355,Pour ce qui est de a troisième elle n'est pas encore ubliée.,2021-12-18 13:19:59+00:00,"((0, 62, 'FRENCH', 'fr'),)","[{'translation_text': 'As far as third is concerned, it is not yet forgotten.'}]"
358,Quand on fait la une pour une armée moderne et efficace...  parlCH,2021-12-17 08:22:16+00:00,"((0, 67, 'FRENCH', 'fr'),)",[{'translation_text': 'When we make the headlines for a modern and efficient army... talkCH'}]
359,"C'est parti avec une super équipe...
    
ECVD22",2021-12-15 08:10:59+00:00,"((0, 49, 'FRENCH', 'fr'),)",[{'translation_text': 'Here we go with a great team... ECVD22'}]
360,"Le Conseil de Etats nous sauve d'une attribution de certains bénéfices de la BNS...ouf!
AVS21",2021-12-13 15:53:35+00:00,"((0, 95, 'FRENCH', 'fr'),)",[{'translation_text': 'The Council of States saves us from the allocation of certain benefits of the BNS...ouf! AVS21'}]
362,"Partis amis ? Les ""amis"" s'étaient séparés avec fracas des  il y a cinq ans, et les fédérales n'avaient pas ramené le calme avec le 
Rediscuter des alliances c'est normal, parler d'amitié me semble exagéré!
  ECVD22",2021-12-13 09:53:49+00:00,"((0, 224, 'FRENCH', 'fr'),)","[{'translation_text': 'Friends? ""Friends"" had split up with a whirlwind of five years ago, and the federals had not brought peace with the Rediscussing alliances it\'s normal, talking about friendship seems exaggerated! ECVD22'}]"
365,"Toujours un plaisir d'acceuillir des visiteurs...
parlCH",2021-12-08 08:26:55+00:00,"((0, 56, 'FRENCH', 'fr'),)",[{'translation_text': 'Always a pleasure to welcome visitors... parlCH'}]
366,Quand  avance plus vite que la musique..,2021-12-08 05:55:29+00:00,"((0, 40, 'Unknown', 'un'),)",NA
368,"Conservateurs de tous bords, cessez donc de camper sur des positions qui péjorent les générations futures, qui péjorent l'avenir de notre pays et de nos institutions. Cessons de laisser les problèmes à nos successeurs, ce n'est pas digne de notre assemblée.
parlCH LPP21",2021-12-07 23:12:13+00:00,"((0, 277, 'FRENCH', 'fr'),)","[{'translation_text': 'The Conservatives on all sides, therefore, cease to camp on positions that undermine future generations, which undermine the future of our country and our institutions. Let us stop leaving the problems to our successors, it is not worthy of our assembly. parlCH LPP21'}]"
369,"3ème dose rendez-vous en poche!
COVID19",2021-12-06 06:55:00+00:00,"((0, 40, 'Unknown', 'un'),)",NA
371,"J'avoue ne pas comprendre votre résonnement torturé...mais une chose est sûr, notre seul objectif est d'assurer que notre système de santé fonctionne à satisfaction sans être encombré.",2021-12-02 10:17:22+00:00,"((0, 192, 'FRENCH', 'fr'),)","[{'translation_text': 'I confess I do not understand your tortured resonance... but one thing is sure, our only goal is to ensure that our health system works to satisfaction without being congested.'}]"
372,"Vous appelez cela faible quand nos hôpitaux sont surchargés et qu'on diminue, pour garder des capacités, les opérations électives! Et je ne parle pas de la surcharges du personnel médical!",2021-12-02 09:40:52+00:00,"((0, 194, 'FRENCH', 'fr'),)","[{'translation_text': ""You call it weak when our hospitals are overloaded and we decrease, to keep capabilities, elective operations! And I'm not talking about the overload of medical staff!""}]"
373,"A mon avis, vous avez un petit soucis avec l'interprétation des chiffres...je vous donne les miens y compris la source, contrairement à vous!",2021-12-02 09:29:41+00:00,"((0, 143, 'FRENCH', 'fr'),)","[{'translation_text': 'In my opinion, you have a little trouble with the interpretation of the numbers...I give you mine including the source, unlike you!'}]"
374,Montrez moi des chiffres et vos sources sur l'inefficacité du vaccin...,2021-12-02 09:08:10+00:00,"((0, 72, 'FRENCH', 'fr'),)",[{'translation_text': 'Show me some numbers and your sources on the ineffectiveness of the vaccine...'}]
375,Il n'y a pas de manque de vaccins en suisse actuellement.,2021-12-02 09:06:07+00:00,"((0, 57, 'Unknown', 'un'),)",NA
376,L'autorisation doit être donnée par swissmedic qui est un organisme indépendant. Ensuite le Conseil fédéral peut faire le pas.,2021-12-02 08:58:36+00:00,"((0, 131, 'FRENCH', 'fr'),)","[{'translation_text': 'The authorization must be given by swissmedic, which is an independent body. Then the Federal Council can take the step.'}]"
377,"Mais que veux dire la faiblesse de la stratégie vaccinale ? Tous ceux qui, en Suisse, le voulaient ont eu accès à la vaccination...Une proposition concrète?",2021-12-02 08:17:35+00:00,"((0, 160, 'FRENCH', 'fr'),)",[{'translation_text': 'But what does the weakness of the vaccination strategy mean? All those in Switzerland who wanted to have access to vaccination...A concrete proposal?'}]
378,"Il n'est pas très constructif de s'invectiver...c'est pourtant ce qu'il se passe quand nous attaquons la loi COVID...
parlCH",2021-12-02 08:14:06+00:00,"((0, 125, 'FRENCH', 'fr'),)","[{'translation_text': ""It's not very constructive to invective... that's what happens when we attack the VOCID law... parlCH""}]"
379,"C'est un peu ""il est urgent d'attendre..."". Moi qui croyais encore que c'était une spécialité vaudoise !
parlCH",2021-12-01 15:54:46+00:00,"((0, 114, 'FRENCH', 'fr'),)","[{'translation_text': 'It\'s a little ""it\'s urgent to wait..."". I still thought it was a Vaudian specialty! parlCH'}]"
380,"Aujourd'hui je change de voisine...
Bienvenue à 
Bon vent à",2021-11-29 13:37:09+00:00,"((0, 61, 'FRENCH', 'fr'),)",[{'translation_text': 'Today I change neighbor... Welcome to Bon vent à'}]
381,J'ai plutôt la même interpretation que la journaliste...C'est un pari qu’à coup sûr.,2021-11-29 09:05:36+00:00,"((0, 90, 'FRENCH', 'fr'),)","[{'translation_text': ""I've got the same interpretation as the journalist... it's a bet for sure.""}]"
382,"Quand je lis la citation suivante:
«Nous soutiendrons le candidat au Conseil d’Etat vert’libéral ou UDC qui sera le mieux placé si nous passons les trois nôtres au premier tour», je n'appelle pas cela une affinité aux alliances...",2021-11-29 08:32:41+00:00,"((0, 240, 'FRENCH', 'fr'),)","[{'translation_text': 'When I read the following quote: ""We will support the candidate to the Green State Council or UDC which will be best placed if we pass the three of ours in the first round"", I do not call this an affinity to alliances...'}]"
383,"Quand Monsieur  affirme que le  est le seul parti à avoir fait tout juste devant le peuple et que dans la phrase d'après il parle de fake new...cela me fait rire...(ou pas!)

  
  via",2021-11-28 21:06:37+00:00,"((0, 185, 'FRENCH', 'fr'),)",[{'translation_text': 'When Monsieur says that he is the only party to have done just in front of the people and that in the following sentence he talks about fake new...it makes me laugh...(or not!) via'}]
385,"Je n'impose rien à personne, mais rappelez moi le statut international de Jérusalem, j'ai un blanc!",2021-11-23 08:50:57+00:00,"((0, 101, 'Unknown', 'un'),)",NA
386,"""Jérusalem est la capitale d'Israël, uniquement!"".
Avec de tels déclarations les problèmes israelo-palestinien est pas prêt d'être réglé...",2021-11-23 05:33:23+00:00,"((0, 147, 'FRENCH', 'fr'),)","[{'translation_text': '""Jerusalem is the capital of Israel, only!"". With such statements the Israeli-Palestinian problems are not ready to be solved...'}]"
387,"Comparaison n'est pas raison...
 l'impact de 3 jours d'arrêt total n'est pas un fantasme romand!",2021-11-21 09:46:19+00:00,"((0, 97, 'FRENCH', 'fr'),)",[{'translation_text': 'Comparison is not right... the impact of 3 days of total shutdown is not a romantic fantasy!'}]
388,"Il ne faut pas imaginer que la conf prenne la responsabilité de la cybersécurité privée.. après tout personne ne vient vérifier que vos valeurs sont enfermées dans un coffre à votre domicile.
cybersecurite parlCH",2021-11-18 16:23:29+00:00,"((0, 220, 'FRENCH', 'fr'),)",[{'translation_text': 'You must not imagine that the confi takes responsibility for private cybersecurity.. after anyone comes to check that your values are locked in a safe at your home. cybersecurity parlCH'}]
390,"Dans sa réponse à mon interpellation, le CF écrit:
""le Conseil fédéral estime qu'il n'est pas non plus nécessaire d'agir pour protéger cette ressource [l'eau potable]"".
Etonnant non ?
parlCH",2021-11-16 06:52:15+00:00,"((0, 197, 'FRENCH', 'fr'),)","[{'translation_text': 'In its response to my inquiry, the CF wrote: ""The Federal Council does not consider it necessary either to act to protect this resource [drinking water]"".'}]"
391,"Je me demande si nos sept ""sages"" ont conscience des conséquences de leur position....j'ai bien peur qu'ils vivent dans un monde parallèle!
aucoeurdeleurope
conseilfederal",2021-11-11 07:59:24+00:00,"((0, 173, 'FRENCH', 'fr'),)","[{'translation_text': 'I wonder if our seven ""agees"" are aware of the consequences of their position... I\'m afraid they\'re living in a parallel world!'}]"
392,"C'est surprenant...
1 - on claque la porte
2 - on fait la morale à celui qu' on a jeté.
aucoeurdeleurope",2021-11-09 17:54:50+00:00,"((0, 106, 'FRENCH', 'fr'),)","[{'translation_text': ""It's surprising... 1 - we slam door 2 - we do the morals to the one we threw.""}]"
393,"Me voilà équipé d'un DEP (Dossier électronique du patient), plus qu'à voir à l'usage...",2021-11-09 06:52:37+00:00,"((0, 93, 'FRENCH', 'fr'),)","[{'translation_text': ""Here I am equipped with a DEP (Patient's electronic file), more than to see for use...""}]"
395,Pour info je ne déplace qu'en transports publics.,2021-11-02 11:31:44+00:00,"((0, 50, 'Unknown', 'un'),)",NA
396,Vous avez dit un bus vide est bon pour le climat...je m'étonne d'une telle annonce qui frise le ridicule...libre a vous d'essayer de contextualiser cette erreur pour l'effacer!,2021-10-31 09:04:37+00:00,"((0, 177, 'FRENCH', 'fr'),)",[{'translation_text': 'You said an empty bus is good for the climate...I am surprised at such an announcement that friezes ridiculous...free to you to try to contextualize this error to erase it!'}]
397,La question n'était pas très utile non plus...,2021-10-31 08:02:35+00:00,"((0, 48, 'Unknown', 'un'),)",NA
398,Non...si on l'a pris il n'est plus vide...,2021-10-30 19:10:33+00:00,"((0, 42, 'Unknown', 'un'),)",NA
399,C'est une erreur de dire qu'un bus vide est bon pour le climat...,2021-10-30 19:08:41+00:00,"((0, 65, 'FRENCH', 'fr'),)","[{'translation_text': ""It's a mistake to say that an empty bus is good for the climate...""}]"
400,Cela dépend du cycle en effet mais ne sous-entendez pas qu'il est interdit de se poser des questions sur les bus vides...c'est surtout la rhétorique utilisée qui n'est pas raisonnable...,2021-10-30 11:04:09+00:00,"((0, 189, 'FRENCH', 'fr'),)",[{'translation_text': 'It depends on the cycle in fact but do not imply that it is forbidden to ask questions about empty buses ... it is above all the rhetoric used that is not reasonable...'}]
401,C'est du travail mais les succès existent...,2021-10-29 12:28:18+00:00,"((0, 45, 'FRENCH', 'fr'),)","[{'translation_text': ""It's work, but success exists...""}]"
402,"Si je comprends bien, faire tourner un bus vide, ce qui revient à transporter en boucle un chauffeur, a un impact positif sur le climat. Etrange d'occuper une personne à ne rien faire d'autre que de produire du CO2 sans transporter personne...",2021-10-29 09:04:20+00:00,"((0, 245, 'FRENCH', 'fr'),)","[{'translation_text': 'If I understand correctly, running an empty bus, which amounts to looping a driver, has a positive impact on the climate. Strange to occupy a person to do nothing but produce CO2 without transporting anyone...'}]"
403,"Programme de la soirée, écouter des exposés pointus... FSS ForumSecuriteSuisse",2021-10-27 16:41:41+00:00,"((0, 81, 'FRENCH', 'fr'),)","[{'translation_text': 'Programme of the evening, listen to some specific presentations... FSS ForumSecuritySwitzerland'}]"
405,Il semble...,2021-10-23 15:56:40+00:00,"((0, 12, 'Unknown', 'un'),)",NA
406,Pas top top...,2021-10-23 09:39:49+00:00,"((0, 14, 'Unknown', 'un'),)",NA
407,"Nous nous sommes mis dans la position de celui qui accepte de subir une torture lente. Dommage...
accordscadres aucoeurdeleurope",2021-10-21 08:25:10+00:00,"((0, 128, 'FRENCH', 'fr'),)",[{'translation_text': 'We have put ourselves in the position of the one who agrees to suffer a slow torture.'}]
408,"Metaverse, scénario du RedTeamDefence, on a pas un soucis ?",2021-10-20 09:26:33+00:00,"((0, 60, 'FRENCH', 'fr'),)","[{'translation_text': ""Metaverse, RedTeamDefence scenario, don't we have a problem?""}]"
409,"Cyclisme – Du myorelaxant dans les bidons

En fait ils utilisent un produit qui n'est pas interdit, pourquoi, dans le titre et la manière d'introduire le sujet, on laisse sous-entendre que c'est de la tricherie ?",2021-10-19 20:11:27+00:00,"((0, 215, 'FRENCH', 'fr'),)","[{'translation_text': 'Cycling – Myorelaxant in the cans In fact they use a product that is not prohibited, why, in the title and how to introduce the subject, we suggest that it is cheating?'}]"
410,"trains supprimés et compositions réduites, c'est un peu compliqué ces jours! Considérez-vous cela comme acceptable?",2021-10-19 04:23:47+00:00,"((0, 119, 'FRENCH', 'fr'),)","[{'translation_text': ""deleted trains and reduced compositions, it's a little complicated these days! Do you consider this acceptable?""}]"
412,"Votre ligne rouge était réglable en interne sans problèmes. Malheureusement le  se laisse aller au dogmatisme syndical. Au revoir horizon, bonjour l'augmentation des risques de chômage...",2021-10-18 17:25:57+00:00,"((0, 191, 'FRENCH', 'fr'),)","[{'translation_text': 'Your red line was internally adjustable without any problems. Unfortunately it is allowed to go to union dogmatism. Goodbye horizon, hello the increase in the risk of unemployment...'}]"
413,"Cela va devenir difficile de faire avancer des projets, les zadistes ne se tirent-ils pas une balle dans le pieds ?",2021-10-18 10:11:36+00:00,"((0, 115, 'FRENCH', 'fr'),)","[{'translation_text': ""It's going to be hard to move projects forward, aren't the Zadists getting a bullet in their feet?""}]"
415,était aussi contre d'ailleurs...,2021-10-18 06:37:41+00:00,"((0, 33, 'FRENCH', 'fr'),)",[{'translation_text': 'was also against...'}]
416,Pas correcte  a aussi voté non !,2021-10-18 06:35:51+00:00,"((0, 33, 'Unknown', 'un'),)",NA
417,«La solidarité européenne nous aide beaucoup. Mais il est évident que l’accord institutionnel avec l’UE nous aurait facilité la tâche.» Rappeler moi la position du  sur l'accord cadre,2021-10-18 05:13:56+00:00,"((0, 194, 'FRENCH', 'fr'),)","[{'translation_text': '""European solidarity helps us a lot, but it is clear that the institutional agreement with the EU would have made it easier for us to do so.""'}]"
418,"«être moral, c’est s’occuper de son propre devoir. Être moralisateur, c’est s’occuper du devoir des autres»
André Comte-Sponville",2021-10-15 07:56:06+00:00,"((0, 142, 'FRENCH', 'fr'),)","[{'translation_text': '""to be moral is to take care of one\'s own duty. To be moralizing is to take care of the duty of others"" André Comte-Sponville'}]"
419,Un 40 tonnes électrique suisse capable d'avaler 500 km,2021-10-14 14:59:20+00:00,"((0, 55, 'Unknown', 'un'),)",NA
420,"ce n'est pas une taxe, c'est une obligation d'investissement dans la culture cinématographique suisse...",2021-10-13 21:03:40+00:00,"((0, 105, 'FRENCH', 'fr'),)","[{'translation_text': ""It's not a tax, it's an investment obligation in Swiss film culture...""}]"
422,"La hiérarchisation ne doit pas avoir sa place dans la réforme...et hop, on recommence...",2021-10-13 09:10:35+00:00,"((0, 90, 'FRENCH', 'fr'),)","[{'translation_text': 'The hierarchy must not have its place in the reform... and hop, we start again...'}]"
423,"C'est désolant, plus qu'à espérer que le Conseil des Etats refusera cette violation crasse de la Convention européenne des droits de l'homme.
parlCH, sik, cps, CEDH",2021-10-13 06:20:11+00:00,"((0, 168, 'FRENCH', 'fr'),)","[{'translation_text': 'It is deplorable, more than to hope that the Council of States will refuse this terrible violation of the European Convention on Human Rights. parlCH, sik, cps, ECHR'}]"
424,"C’est le principe de subsidiarité. ... . Dans ce cas précis, je ne suis pas convaincu que nous soyons arrivés à ce point et qu’il soit nécessaire d’engager des soldats.",2021-10-13 05:21:25+00:00,"((0, 179, 'FRENCH', 'fr'),)","[{'translation_text': 'This is the principle of subsidiarity. ... . In this particular case, I am not convinced that we have reached this point and that it is necessary to hire soldiers.'}]"
425,"Rien que pour l'ascenseur, l'hôtel National vaut le détour..",2021-10-12 05:58:11+00:00,"((0, 62, 'FRENCH', 'fr'),)","[{'translation_text': 'Just for the elevator, the National Hotel is worth a visit.'}]"
426,"L'école 42 démarre, une méthode innovante de formation...plus qu'à surveiller comment va réagir le marché du travail, je suis optimiste.",2021-10-11 13:14:56+00:00,"((0, 142, 'FRENCH', 'fr'),)","[{'translation_text': 'School 42 starts, an innovative method of training... more than monitoring how the labour market will react, I am optimistic.'}]"
427,"Une salle de commission sans plexiglas...cela faisait longtemps!
parlch",2021-10-11 11:06:36+00:00,"((0, 71, 'FRENCH', 'fr'),)",[{'translation_text': 'A commission room without plexiglas... it was a long time ago! parlch'}]
429,"Fixer un prix au CO2 c'est évidemment la solution, mais on fait comment pour le faire accepter par la population ?",2021-10-08 08:24:11+00:00,"((0, 115, 'Unknown', 'un'),)",NA
430,"Quand on évoque les problèmes de désinformation et d'armes autonomes, on rentre dans le dur. Il y a du travail !",2021-10-08 07:14:29+00:00,"((0, 115, 'FRENCH', 'fr'),)","[{'translation_text': 'When you talk about the problems of disinformation and autonomous weapons, you get into the hard part.'}]"
431,Aujourd'hui j'écoute...,2021-10-08 06:17:13+00:00,"((0, 24, 'Unknown', 'un'),)",NA
436,"De l’eau potable dans nos piscines publiques, du pur gaspillage!",2021-09-30 07:49:48+00:00,"((0, 66, 'FRENCH', 'fr'),)","[{'translation_text': 'Drinking water in our public swimming pools, pure waste!'}]"
437,La digitalisation a-t-elle vraiment besoin de centralisation ? La technologie actuelle va en direction de la décentralisation et de la simplicité des services. C'est de l'agilité qu'il faut..,2021-09-27 10:48:33+00:00,"((0, 194, 'FRENCH', 'fr'),)",[{'translation_text': 'Is digitalisation really in need of centralization? The current technology is in the direction of decentralization and simplicity of services. It is agility that is needed.'}]
438,"Lisez mon interpellation, je n'y parle pas que de murs anti bruits, et il y a des endroits qui ne sont pas protégés côté lac. L'important est que les valeurs limites de l'OPB soient respectées et ce n'est visiblement pas le cas!",2021-09-24 05:31:28+00:00,"((0, 233, 'FRENCH', 'fr'),)","[{'translation_text': ""Read my inquiry, I'm not just talking about noise-resistant walls, and there are places that are not protected on the lake side. The important thing is that the limit values of the OPB are respected and this is obviously not the case!""}]"
439,"Traversée autoroutière de Morges, à quand un assainissement du bruit routier digne de ce nom ?",2021-09-23 06:05:09+00:00,"((0, 97, 'FRENCH', 'fr'),)","[{'translation_text': 'By-road crossing of Morges, when a clean-up of the road noise worthy of this name?'}]"
440,"«Choisir de ne pas se vacciner équivaut donc aujourd'hui à choisir la maladie plutôt que la vaccination. C'est un chemin nettement plus risqué, à la fois à titre individuel et sur le plan collectif» - Samia Hurst",2021-09-21 13:04:03+00:00,"((0, 220, 'FRENCH', 'fr'),)","[{'translation_text': '""Choose not to vaccinate is now tantamount to choosing the disease rather than vaccination. It is a much more risky path, both individually and collectively"" - Samia Hurst'}]"
442,dans une course de folie ce soir...rendez-vous sur rts2,2021-09-14 06:40:34+00:00,"((0, 55, 'FRENCH', 'fr'),)",[{'translation_text': 'in an insanity race tonight... go to rts2'}]
444,"conseil le rejet de la motion 21.3599 ""Transparence sur les moyens financiers des commissions paritaires""...plus de transparence c'est bien...mais surtout pour les autres!",2021-09-10 07:56:08+00:00,"((0, 171, 'FRENCH', 'fr'),)","[{'translation_text': 'the rejection of motion 21.3599 ""Transparency on the financial resources of the Joint Committees""...more transparency is good...but especially for the others!'}]"
445,"Toujours amusant d'être pris à partie de la sorte, surtout de la part de quelqu'un qui ne dévoile pas son identité! Votre procès d'intention est franchement ridicule...",2021-09-10 06:03:07+00:00,"((0, 173, 'FRENCH', 'fr'),)","[{'translation_text': ""Always amusing to be caught up in this way, especially on the part of someone who doesn't reveal their identity! Your trial of intent is frankly ridiculous...""}]"
446,deuxième médaille d'or...200m en 23.23.,2021-09-05 14:03:57+00:00,"((0, 41, 'Unknown', 'un'),)",NA
449,"Léonie championne suisse u23, record suisse égalisé!",2021-09-04 16:04:37+00:00,"((0, 55, 'FRENCH', 'fr'),)","[{'translation_text': 'Léonie Swiss champion u23, Swiss record equalized!'}]"
450,J'ai encore du travail...,2021-09-02 12:02:54+00:00,"((0, 25, 'Unknown', 'un'),)",NA
451,forumprevoyance  il faudra que la gauche remarque que la charge salariale de l'employeur est financée par l'employé...croire le contraire est un leurre.,2021-09-02 10:34:17+00:00,"((0, 154, 'FRENCH', 'fr'),)","[{'translation_text': ""The left will have to notice that the employer's salary burden is funded by the employee...believe the opposite is a decoy.""}]"
452,forumprevoyance  quand on entend qu'il faut mettre le taux d'intérêt technique dans la loi...ou comment la gauche veut geler le modèle...,2021-09-02 10:24:04+00:00,"((0, 140, 'FRENCH', 'fr'),)",[{'translation_text': 'forumprevoyance when you hear that you have to put the technical interest rate in the law...or how the left wants to freeze the model...'}]
453,Inciter à dénoncer son voisin...est-ce bien raisonnable ?,2021-09-02 09:39:12+00:00,"((0, 59, 'FRENCH', 'fr'),)","[{'translation_text': ""Inciting one's neighbour to report... is that reasonable?""}]"
454,"Mon intervention sur le sujet ""Commandement cyber"" armee cyberdefense",2021-09-02 05:34:44+00:00,"((0, 69, 'Unknown', 'un'),)",NA
457,4/4,2021-08-31 06:56:19+00:00,(),NA
458,"3/4
""repousser l’opération d’une personne vaccinée parce que les soins intensifs sont remplis de malades du Covid non vaccinés, ce serait faire peser sur la santé de celle-ci le choix de ceux qui refusent le vaccin…""",2021-08-31 06:56:09+00:00,"((0, 226, 'FRENCH', 'fr'),)","[{'translation_text': '3/4 ""to push the operation of a vaccinated person because the intensive care is filled with unvaccinated Covid patients, it would be to weigh the health of the latter the choice of those who refuse the vaccine...""'}]"
459,"2/4
""Ce n’est pas encore le cas mais la situation est réévaluée quotidiennement, soulignent les HUG.
De telles décisions, cette fois, soulèveraient à coup sûr des questions éthiques:""",2021-08-31 06:55:42+00:00,"((0, 193, 'FRENCH', 'fr'),)","[{'translation_text': '2/4 ""This is not yet the case, but the situation is re-evaluated on a daily basis, the HUGs point out. Such decisions, this time, would certainly raise ethical questions:""'}]"
460,"1/4
Voilà une réflexion intéressante...

""Si le système hospitalier venait à être surchargé, on pourrait aussi devoir reporter des opérations électives (dites non urgentes), comme on l’a fait par le passé. """,2021-08-31 06:55:26+00:00,"((0, 219, 'FRENCH', 'fr'),)","[{'translation_text': '1/4 This is an interesting reflection... ""If the hospital system were to be overloaded, it might also be necessary to postpone elective (so-called non-emergency) operations, as it was done in the past. ""'}]"
461,Rendez-vous ce soir 19h36...,2021-08-26 04:53:30+00:00,"((0, 28, 'Unknown', 'un'),)",NA
464,"au journal des sports sur 
pour parler de sa participation aux Championnats d'Europe U23.




cariviera
Tallinn2021 
: Christian Dössegger",2021-07-14 04:59:43+00:00,"((0, 139, 'FRENCH', 'fr'),)",[{'translation_text': 'to the sports newspaper about his participation in the U23 European Championships. cariviera Tallinn2021 : Christian Dössegger'}]
466,"Dans le canton de Vaud les  rentrent dans la boucle de la présidence du GCVD, en voilà une bonne nouvelle.
Félicitations à   et à tout le groupe pour le travail!",2021-07-01 07:08:33+00:00,"((0, 166, 'FRENCH', 'fr'),)","[{'translation_text': 'In the canton of Vaud they enter the loop of the Presidency of the GCVD, this is good news. Congratulations to and to the whole group for the work!'}]"
469,Tricher dans le résultat d'une évaluation d'offre amène des recours et généralement l'annulation du marché...,2021-06-30 14:34:34+00:00,"((0, 115, 'FRENCH', 'fr'),)",[{'translation_text': 'Choosing in the outcome of a bid evaluation brings remedies and usually the cancellation of the contract...'}]
470,"Vous avez le droit d'avoir cet avis, mais une votation a déjà eu lieu il y a pas si longtemps...Si on relance un vote chaque fois que le résultat ne nous plait pas, cela va être difficile de continuer à justifier notre système...",2021-06-30 14:32:12+00:00,"((0, 235, 'FRENCH', 'fr'),)","[{'translation_text': 'You have the right to have this opinion, but a vote has already taken place not so long ago...If we resume a vote whenever the result does not please us, it will be difficult to continue to justify our system...'}]"
471,"Je n'ai ni accès au dossier ni les compétences pour juger de la pertinence des offres ! Pas d'autre choix que de croire et espérer que le travail d'évaluation a été fait correctement, et à suivre le projet d'acquisition avec les attributions qui sont les miennes.",2021-06-30 14:29:45+00:00,"((0, 270, 'FRENCH', 'fr'),)","[{'translation_text': 'I have neither access to the file nor the skills to judge the relevance of the offers! No choice but to believe and hope that the evaluation work was done correctly, and to follow the acquisition project with the assignments that are mine.'}]"
472,"Le peuple a dit oui (à une très courte majorité certes ...) à 6 milliards pour un avion, un des quatre en concurrence...Si le peuple change d'avis et refuse ce choix alors il faudra prendre acte! C'est lui le chef !",2021-06-30 14:27:27+00:00,"((0, 219, 'FRENCH', 'fr'),)","[{'translation_text': 'The people said yes (with a very short majority of course ...) to 6 billion for a plane, one of the four competing...If the people change their mind and refuse this choice then we will have to take note! He is the leader!'}]"
