,tweets,time,language,translated_tweets
274,"Boostern: 
Sollen wir uns nun wirklich noch mehr von dem Stoff reinjagen, der nicht mehr wirkt?",2021-11-15 19:49:36+00:00,"((0, 95, 'GERMAN', 'de'),)",Booster: Are we really going to chase in more of the stuff that doesn't work anymore?
275,Aber sicher - die Verantwortlichen sind zurzeit in einem veritablen Rückzugsgefecht …,2021-11-14 18:36:41+00:00,"((0, 88, 'GERMAN', 'de'),)",But sure - those responsible are currently in a veritable retreat contest ...
276,Genau! Die Zeit ist jetzt da - Handeln für die Freiheit!,2021-11-14 06:09:10+00:00,"((0, 57, 'GERMAN', 'de'),)","That's right, the time has come to act for freedom."
277,… und wovon träumen Sie in der Nacht?,2021-11-13 21:10:30+00:00,"((0, 40, 'GERMAN', 'de'),)",... and what do you dream of at night?
278,"Österreich verfügt einen Lockdown für Ungeimpfte in 2 Bundesländern, Impfpflicht für das Gesundheitspersonal und in den News wird gerätselt, wie man Verstösse ahnden (also die gesunden Ungeimpften jagen kann) Wo sind wir nur gelandet? jetzt die Notbremse ziehen: NEIN am 28.11.!",2021-11-13 05:48:24+00:00,"((0, 285, 'GERMAN', 'de'),)","Austria has a lockdown for the unvaccinated in 2 federal states, vaccination for the health personnel and in the news it is getting tired of how to punish violations (so the healthy unvaccinated can hunt) Where did we end up? now pull the emergency brake: NO on 28.11.!"
279,Vom Freisinn zum Schwachsinn ….,2021-11-12 18:51:00+00:00,"((0, 33, 'GERMAN', 'de'),)",From free-mindedness to bullshit ....
280,"Immer mehr Impfdurchbrüche - und das Verrückte: Zum ersten Mal in der Geschichte wird die Unwirksamkeit eines Medikamentes denen angelastet, die es nicht eingenommen haben. Neuinfektionen",2021-11-12 18:50:17+00:00,"((0, 189, 'GERMAN', 'de'),)","More and more vaccine breakthroughs - and the crazy: For the first time in history, the ineffectiveness of a drug is charged to those who have not taken it."
281,"Immer mehr Impfdurchbrüche - und das Verrückte: Zum ersten Mal in der Geschichte wird die Unwirksamkeit eines Medikamentes denen angelastet, die es nicht eingenommen haben. Neuinfektionen",2021-11-12 18:46:12+00:00,"((0, 189, 'GERMAN', 'de'),)","More and more vaccine breakthroughs - and the crazy: For the first time in history, the ineffectiveness of a drug is charged to those who have not taken it."
282,"Habe das kümmerliche Trüppchen heute live in Zürich gesehen … Ist das echt alles, was Ihr noch an Demonstranten hinbringt? Und dann noch durchseucht mit Antifanten und anderen Chaoten …",2021-11-06 15:41:14+00:00,"((0, 192, 'GERMAN', 'de'),)",Have I seen the dim little junk live in Zurich today ... Is that really all you bring to demonstrators? And then still contaminated with antifants and other chaots ...
283,"Man hätte ja auch fragen können, wer sich enthalten hat, weshalb der Stichentscheid überhaupt erst nötig wurde …",2021-11-05 19:55:32+00:00,"((0, 118, 'GERMAN', 'de'),)","One could also have asked who abstained, why the key decision was necessary in the first place ..."
284,"Man hätte ja auch fragen können, wer sich enthalten hat, weshalb der Stichentscheid überhaupt erst nötig wurde …",2021-11-05 17:43:44+00:00,"((0, 118, 'GERMAN', 'de'),)","One could also have asked who abstained, why the key decision was necessary in the first place ..."
285,"In Italien helfen die Gewerkschaften den Büezern gegen die unsägliche 3G-Pflicht am Arbeitsplatz - in der Schweiz lassen   und Co. die Büezer hängen … Hauptsache, man kann Millionen kassieren und horten …",2021-10-18 05:40:16+00:00,"((0, 212, 'GERMAN', 'de'),)","In Italy, the trade unions help the Büezers against the unspeakable 3G obligation in the workplace - leave the Büezers hanging in Switzerland and co. ... The main thing is that you can collect and hoard millions ..."
286,JSH alleine ohne ihre 2 letzten Getreuen wird noch unerträglicher 🤢,2021-10-17 11:00:43+00:00,"((0, 71, 'GERMAN', 'de'),)",JSH alone without her 2 last faithful becomes even more unbearable
287,"Ich denke, diesen Steuerausfall kann der Aargau gut verkraften …",2021-10-16 14:30:30+00:00,"((0, 66, 'GERMAN', 'de'),)",I think the Aargau can cope well with this tax failure...
288,Ich gebe Ihnen 24h um den Tweet zu löschen - anschliessend Strafanzeige!,2021-10-15 19:21:50+00:00,"((0, 73, 'GERMAN', 'de'),)",I'll give you 24h to delete the tweet - then criminal charges!
289,"Weit haben wir es gebracht: 
Es gibt Bussen bei falscher Namensangabe im Restaurant - 
aber wenn Du illegal in die CH einreist und nichts sagen möchtest, woher Du kommst: 
Familiennachzug, lebenslange Sozialhilfe und AHV …",2021-10-13 07:50:06+00:00,"((0, 225, 'GERMAN', 'de'),)","We have brought it far: there are buses with false names in the restaurant - but if you illegally enter the CH and don't want to say anything about where you come from: family reunification, life-long social assistance and AHV ..."
290,"2G einführen hiesse, dass es zu gefährlich wäre, jemanden, der eine Krankheit nachweislich nicht hat, neben jemanden zu setzen, der gegen diese Krankheit geimpft ist … wir verblöden endgültig!",2021-10-12 09:12:55+00:00,"((0, 199, 'GERMAN', 'de'),)",2G suggest that it would be too dangerous to put someone who has proven not to have a disease next to someone who has been vaccinated against this disease ... we are stupid for good!
291,"Oh, Jolanda  bald alleine zuhause …",2021-10-08 10:14:46+00:00,"((0, 37, 'GERMAN', 'de'),)","Oh, Jolanda will soon be alone at home..."
292,"Sich zum impfen, um Geimpfte zu schützen, ist ähnlich wie keine Schokolade zu essen, weil der Nachbar Diabetes hat …",2021-10-08 10:11:41+00:00,"((0, 120, 'GERMAN', 'de'),)","Vaccinating yourself to protect the vaccinated is similar to not eating chocolate, because the neighbor has diabetes ..."
293,Klimachaoten verwenden Bambusstäbe um die Strassen zu sperren - ob die Stäbe wohl mit dem Velo in die Schweiz kamen?,2021-10-05 15:05:40+00:00,"((0, 118, 'GERMAN', 'de'),)",Climate chaos uses bamboo sticks to block the streets - whether the rods came to Switzerland by bike?
294,Klimachaoten legen Zürich lahm: Liebevolle Verhätschelung durch Polizei - ein paar friedliche Trychler auf dem Bundesplatz: Grossaufgebot mit Wasserwerfer und Tränengas … ist das noch meine Schweiz?,2021-10-05 14:49:22+00:00,"((0, 203, 'GERMAN', 'de'),)",Climate chaos paralyzes Zurich: Lovingly veiled by the police - a few peaceful trychlers on the Bundesplatz: Large array with water cannon and tear gas ... is that still my Switzerland?
295,"Es geht doch nur um den Unsinn, draußen eine Maske tragen zu müssen und für die Besichtigung einer Brücke ein Zertifikat zu verlangen …",2021-10-05 14:40:45+00:00,"((0, 141, 'GERMAN', 'de'),)",It's all about the nonsense of having to wear a mask outside and asking for a certificate for a visit to a bridge ...
296,"Es ist doch nur die Tatsache, dass man für draussen! ein Zertifikat braucht …",2021-10-04 19:21:37+00:00,"((0, 80, 'GERMAN', 'de'),)",It's just the fact that you need a certificate for outside! ...
297,"Avignon 3.10.2021 - um die berühmte Brücke besichtigen zu dürfen, braucht es ein Zertifikat und eine Maske - Schergen überwachen dies streng - wir verblöden endgültig!",2021-10-04 12:05:07+00:00,"((0, 173, 'GERMAN', 'de'),)","Avignon 3.10.2021 - in order to visit the famous bridge, you need a certificate and a mask - henchmen strictly monitor this - we are stupid for good!"
298,"Braucht es für eine Impfung, die derart gut, risikolos und wirksam ist, wirklich eine Belohnung von 50.—? Und: Wenn dann doch was schief geht - haftet dann der, der die Belohnung einstreicht? Die Pharmamultis haben sich ja von jeder Haftung entbinden lassen …",2021-10-02 16:29:19+00:00,"((0, 264, 'GERMAN', 'de'),)","Does it really need a reward of 50.— for a vaccination that is so good, riskless and effective? And: If then something goes wrong - then the one who once achieved the reward is liable? After all, the pharmaceuticals have let themselves be relieved of any liability ..."
299,Wäre ich nicht so gefährlich für linksgrün dann würden Sie mich gar nicht erwähnen 🤗,2021-09-30 13:42:46+00:00,"((0, 93, 'GERMAN', 'de'),)",If I wasn't so dangerous for left green then you wouldn't mention me at all
300,Wovon träumen Sie in der Nacht ?,2021-09-29 08:20:39+00:00,"((0, 33, 'GERMAN', 'de'),)",What do you dream of at night?
301,Wahlen in Aargauer Städten: Warum triumphiert Rotgrün und schifft die SVP ab?,2021-09-28 20:48:27+00:00,"((0, 79, 'GERMAN', 'de'),)",Elections in Aargau cities: Why is Red Green triumphing and the SVP disembarks?
302,Man kann zurzeit Kinder unter 12 Jahren nicht impfen …,2021-09-23 19:19:43+00:00,"((0, 56, 'GERMAN', 'de'),)",You can't vaccinate children under 12 years of age at the moment...
303,"Stopp Zertifikatspflicht!

Bei korrekter Berechnung der Impfquote (ohne Kinder und Jugendliche) sind rund 75% geimpft oder genesen!",2021-09-23 08:46:25+00:00,"((0, 131, 'GERMAN', 'de'),)","If the vaccination rate (without children and adolescents) is calculated correctly, around 75% are vaccinated or recovered!"
304,Stimmt - die wählen uns schon lange,2021-09-21 10:23:21+00:00,"((0, 36, 'GERMAN', 'de'),)",Right - they've been choosing us for a long time
305,"Zum durch die Zertifikatspflicht faktisch geschaffenen Impfzwang eine interessante Überlegung: Die Geschützten müssen vor den Ungeschützten geschützt werden, indem man die Ungeschützten zwingt, den Schutz zu benützen, der die Geschützten nicht schützt …",2021-09-18 12:58:11+00:00,"((0, 264, 'GERMAN', 'de'),)",An interesting consideration about the impotence created by the obligation to grant a certificate: the protected must be protected from the unprotected by forcing the unprotected to use the protection that does not protect the protected ...
306,Der Widerstandskleber - ab sofort lieferbar - natürlich gratis! Mail an: glarner,2021-09-15 20:02:49+00:00,"((0, 81, 'GERMAN', 'de'),)",The resistance adhesive - available now - of course free of charge! Mail to: glarner
307,"Eben nicht - gerade Monteure sind bald wieder darauf angewiesen, sich aufwärmen zu können!",2021-09-14 16:28:40+00:00,"((0, 92, 'GERMAN', 'de'),)",Not at all - especially fitters are soon again dependent on being able to warm up!
308,"Ich hatte selber Corona und würde niemals Personen verhöhnen, die darunter leiden",2021-09-13 16:05:49+00:00,"((0, 83, 'GERMAN', 'de'),)",I had Corona myself and would never mock people who suffer from it
309,"Wir müssen uns wehren - es gilt, diese Zertifikatspflicht zu bekämpfen - liebe Schweizer, erwacht endlich!",2021-09-13 13:38:56+00:00,"((0, 108, 'GERMAN', 'de'),)","We must fight back - we must fight this duty of certification - dear Swiss, awaken at last!"
310,Das stimmt schlicht nicht - es wird manipuliert und getrickst …,2021-09-13 10:08:16+00:00,"((0, 65, 'GERMAN', 'de'),)",That's simply not true - it's being manipulated and tricked ...
311,"Unglaublich: Der Präsident von  behauptet, internationale Gäste wünschen sich eine Zertifikatspflicht …",2021-09-08 20:25:58+00:00,"((0, 108, 'GERMAN', 'de'),)",Incredible: The president of claims international guests want a certificate obligation ...
312,"Euer Ernst,  und  Für Klimachaoten wird der Bundesplatz frei gehalten und sogar gratis Strom und Wasser geliefert - aber friedlichen Gegnern der Zertifikatspflicht wird heute der Zugang zum Bundesplatz mit Gittern versperrt?",2021-09-08 18:18:23+00:00,"((0, 225, 'GERMAN', 'de'),)","Your Ernst, and For Climate Chaots, the Bundesplatz is kept free and even supplied free of charge with electricity and water - but peaceful opponents of the certificate obligation are today blocked access to the Bundesplatz with grids?"
313,Jeder Vermieter müsste künftig auf die Netto-Mietzinseinnahmen einen Zuschlag von 50% bezahlen … wo er dies wohl belasten würde …,2021-09-07 10:21:56+00:00,"((0, 136, 'GERMAN', 'de'),)",Every landlord would have to pay a 50% surcharge on the net rent income in the future ... where he would probably charge this ...
314,Firma umgehend verlassen!,2021-09-07 10:07:08+00:00,"((0, 25, 'GERMAN', 'de'),)",Leave the company immediately!
315,Niederlage für Spiess-Hegglin: Buch über die Zuger Landammannfeier soll erscheinen dürfen,2021-09-06 08:01:19+00:00,"((0, 92, 'GERMAN', 'de'),)",Defeat for Spiess-Hegglin: Book about the Zuger Landammannfeier should be allowed to appear
316,Also ich stehe täglich um 04.15 auf,2021-09-02 07:15:15+00:00,"((0, 36, 'GERMAN', 'de'),)",So I get up every day at 04.15
317,"Büezer, erwachet - aufstehen um 08.00? Dieser Mann  und seine Partei  haben keine Ahnung von Euren Sorgen und Nöten! Wer morgens aufsteht und einem anständigen Beruf nachgeht oder eigenverantwortlich für Haus, Hof und Kinder sorgt, kann nur  wählen!",2021-09-01 19:51:17+00:00,"((0, 254, 'GERMAN', 'de'),)","Büezer, wake up - get up at 08.00? This man and his party have no idea of your worries and needs! Who gets up in the morning and pursues a decent profession or takes care of house, yard and children, can only choose!"
318,: Das sind meine „Helden“ - man hat tatsächlich 2 (zwei) neue Intensivbetten geschaffen … der CEO verdient übrigens 385‘000.— CHF / Jahr …,2021-08-27 12:43:14+00:00,"((0, 152, 'GERMAN', 'de'),)",": These are my ""heroes"" - they actually created 2 (two) new intensive beds ... by the way, the CEO deserves 385\'000.— CHF / year ..."
319,"Interessant: Einen Covid-Test für auszuweisende Asylbetrüger lehnen   und  mit dem Hinweis auf die körperliche Unversehrtheit ab - einen faktischen Impfzwang und Zwangstests für Restaurantbesucher hingegen befürworten beide Parteien … Schweizer, erwachet!",2021-08-26 15:57:27+00:00,"((0, 262, 'GERMAN', 'de'),)","Interesting: Deny a Covid test for asylum frauds to be expelled and reject it with the reference to physical integrity - a de facto impunity and forced tests for restaurant visitors, on the other hand, both parties support ... Swiss, Awake!"
320,Eine Ausweitung der Zertifikatspflicht auf Restaurants ist unsinnig! Vorher müsste man eine solche für die heilige Kuh öV prüfen!,2021-08-25 04:53:14+00:00,"((0, 133, 'GERMAN', 'de'),)",An extension of the certificate obligation to restaurants is nonsensical! Before one would have to check such for the holy cow öV!
321,Erwarte noch immer Ihren Packungsprospekt …,2021-08-22 20:21:25+00:00,"((0, 45, 'GERMAN', 'de'),)",Still waiting for your packing brochure ...
322,"Also wenn Du „wen“ statt „wenn“ schreibst, wird es schwierig, Deine Posts richtig zu interpretieren … (nicht gleich losheulen, ich weiss, Du bist selbsternannter Legastheniker)",2021-08-22 19:45:31+00:00,"((0, 186, 'GERMAN', 'de'),)","So if you ""wh"" instead of ""if"" writing, it will be difficult to interpret your posts correctly ... (don\'t start crying, I know you\'re a self-proclaimed dyslexic)"
323,Also nach Deinem Post hier zum Entscheid der SVP Delegierten solltest Du hier nicht von „rumproleten“ reden …,2021-08-22 19:43:01+00:00,"((0, 115, 'GERMAN', 'de'),)","So after your post here on the decision of the SVP delegates you shouldn\'t talk about ""rumproleten"" here ..."
324,Für Frauchiger beginnt „bürgerlich“ rechts von Funiciello,2021-08-22 19:40:10+00:00,"((0, 63, 'GERMAN', 'de'),)","For Frauchiger begins ""bourgeois"" right of Funiciello"
325,Aber bitte - senden Sie mir nun doch endlich einen Beipackzettel mit dem gleichen oder wenigstens ähnlichen Wortlaut …,2021-08-22 19:04:30+00:00,"((0, 121, 'GERMAN', 'de'),)",But please - finally send me a package leaflet with the same or at least similar wording ...
326,Also ich habe gerade 3! Beipackzettel gelesen - in keinem lässt sich der Lieferant von der Haftung befreien ….,2021-08-22 19:03:35+00:00,"((0, 113, 'GERMAN', 'de'),)",So I just read 3! Package leaflets - in no one can the supplier be exempted from liability ....
327,"Ich führe diese darum an, weil ich mir einfach nicht vorstellen kann, dass Sie ohne äussere Einwirkung so geworden sind, wie Sie nun mal eben leider sind …",2021-08-22 17:44:14+00:00,"((0, 159, 'GERMAN', 'de'),)","I'm referring to this because I just can't imagine that you have become the same without any external influence as you are, unfortunately..."
328,"Sie behaupten, dass sich jeder Lieferant vom Kopfwehtabletten ähnlich aus der Verantwortung schleichen könne - ich bitte Sie um den Beweis - und Sie reden von Nebenwirkungen … schade!",2021-08-22 17:39:33+00:00,"((0, 187, 'GERMAN', 'de'),)",You claim that every supplier of the headache tablet can sneak out of responsibility similarly - I ask for proof - and you talk about side effects ... a pity!
329,Ah ja - dann posten Sie es bitte hier!,2021-08-22 17:23:10+00:00,"((0, 38, 'GERMAN', 'de'),)",Ah yes - then please post it here!
330,"Nein, jede Form von Gewalt ist absolut zu verurteilen! Ich bin selbst Opfer von linksgrünalternativen Spinnern und würde Gewalt niemals gutheissen!",2021-08-22 17:22:01+00:00,"((0, 149, 'GERMAN', 'de'),)","No, any form of violence is absolutely to be condemned! I myself am the victim of left-green-alternative spinners and would never approve of violence!"
331,"Auszug aus dem Vertrag Pfizer/Biontech mit den Käufern:""Der Käufer erkennt an, dass die langfristigen Wirkungen und die Wirksamkeit des Impfstoffs derzeit nicht bekannt sind und dass der Impfstoff unerwünschte Wirkungen haben kann, die derzeit nicht bekannt sind…",2021-08-22 17:21:16+00:00,"((0, 268, 'GERMAN', 'de'),)","Excerpt from the Pfizer/Biontech contract with buyers:""The buyer acknowledges that the long-term effects and efficacy of the vaccine are currently unknown and that the vaccine may have adverse effects that are currently unknown..."
332,"Auszug aus dem Vertrag Pfizer/Biontech mit den Käufern:""Der Käufer erkennt an, dass die langfristigen Wirkungen und die Wirksamkeit des Impfstoffs derzeit nicht bekannt sind und dass der Impfstoff unerwünschte Wirkungen haben kann, die derzeit nicht bekannt sind…",2021-08-22 17:19:42+00:00,"((0, 268, 'GERMAN', 'de'),)","Excerpt from the Pfizer/Biontech contract with buyers:""The buyer acknowledges that the long-term effects and efficacy of the vaccine are currently unknown and that the vaccine may have adverse effects that are currently unknown..."
333,"Nein, jede Form von Gewalt ist absolut zu verurteilen! Ich bin selbst Opfer von linksgrünalternativen Spinnern und würde Gewalt niemals gutheissen!",2021-08-22 17:17:12+00:00,"((0, 149, 'GERMAN', 'de'),)","No, any form of violence is absolutely to be condemned! I myself am the victim of left-green-alternative spinners and would never approve of violence!"
334,Genau - und seither wurden einige weitere Medikamente mit verheerenden Nebenwirkungen zugelassen …,2021-08-22 17:15:35+00:00,"((0, 100, 'GERMAN', 'de'),)",Exactly - and since then some more drugs have been approved with devastating side effects ...
335,"Nein, jede Form von Gewalt ist absolut zu verurteilen! Ich bin selbst Opfer von linksgrünalternativen Spinnern und würde Gewalt niemals gutheissen!",2021-08-22 17:12:41+00:00,"((0, 149, 'GERMAN', 'de'),)","No, any form of violence is absolutely to be condemned! I myself am the victim of left-green-alternative spinners and would never approve of violence!"
336,Oh Gott - welchen Zusammenhang Sie nun wieder konstruieren … Ihre Sucht scheint echt bleibende Schäden hinterlassen zu haben … in Ihrem Falle würde ich sogar eine IV-Rente befürworten!,2021-08-22 17:06:21+00:00,"((0, 191, 'GERMAN', 'de'),)",Oh God - what connection you are constructing now ... your addiction seems to have left real lasting damage ... in your case I would even support an IV pension!
337,"Spalten diejenigen die Gesellschaft, welche sie in 2 Klassen aufteilen wollen - oder die, die davor warnen?",2021-08-22 16:59:00+00:00,"((0, 107, 'GERMAN', 'de'),)",Are those who want to divide society into two classes - or those who warn about it?
338,"Es ist doch seltsam, wenn ein Opfer nichts mit der Polizei zu tun haben will … da kommt doch automatisch der Verdacht auf, er hätte es schon mal mit der Polizei zu tun gehabt …",2021-08-22 16:57:05+00:00,"((0, 181, 'GERMAN', 'de'),)",It's strange if a victim doesn't want to have anything to do with the police ... there's always the suspicion that he's ever been involved with the police ...
339,Eventuell war er einschlägig registriert,2021-08-22 16:37:15+00:00,"((0, 41, 'GERMAN', 'de'),)",He may have been registered on the subject
340,"Zum Nachdenken: Die Impfung gegen COVID mag ja funktionieren … aber ist es korrekt, die Impfung zu propagieren und Kritiker lächerlich zu machen? Was, wenn sich in 2 Jahren massive Schäden ergeben? Wurde nicht Contergan damals speziell für schwangere Frauen empfohlen?",2021-08-22 16:35:39+00:00,"((0, 273, 'GERMAN', 'de'),)",To think: The vaccination against COVID may work ... but is it correct to propagate the vaccination and make critics ridiculous? What if massive damage occurs in 2 years? Wasn't Contergan recommended specifically for pregnant women at that time?
341,"… die Impfung mag ja funktionieren … aber ist es korrekt, jetzt hier die Impfung zu propagieren und Kritiker lächerlich zu machen? Was, wenn sich in 2 Jahren massive Schäden ergeben? Wurde nicht Contergan damals speziell für schwangere Frauen empfohlen?",2021-08-22 16:33:49+00:00,"((0, 260, 'GERMAN', 'de'),)",... the vaccination may work ... but is it correct now to propagate the vaccination here and make critics ridiculous? What if massive damage occurs in 2 years? Was not Contergan at that time specifically recommended for pregnant women?
342,"Ja, Drogensucht in Kombination mit falscher Erziehung und falschen Umfeld hinterlassen oft deutliche Spuren …",2021-08-19 21:41:48+00:00,"((0, 111, 'GERMAN', 'de'),)","Yes, drug addiction in combination with false education and wrong environment often leave clear traces ..."
343,Es ist so ruhig … haben Sie keine Antwort auf meine Frage?,2021-08-19 21:21:46+00:00,"((0, 60, 'GERMAN', 'de'),)",It's so quiet... don't you have an answer to my question?
344,Verfahren in Schaffhausen - Blogger und Anti-Hatespeech-Aktivist wird wegen Ehrverletzung angezeigt - 20 Minuten,2021-08-19 21:20:46+00:00,"((0, 112, 'GERMAN', 'de'),)",Proceedings in Schaffhausen - Blogger and anti-hatespeech activist is reported for injury - 20 minutes
345,"Woher wissen Sie, ob ich geimpft bin?",2021-08-19 15:55:50+00:00,"((0, 37, 'GERMAN', 'de'),)",How do you know I'm vaccinated?
346,Das beruhigt mich irgendwie …,2021-08-17 14:00:46+00:00,"((0, 31, 'GERMAN', 'de'),)",It kind of calms me down...
347,"Und das fragt ausgerechnet ein Freisinniger … Es kann doch nie ein Fehlanreiz sein, wenn sich möglichst viele Bürger ein EFH leisten können!",2021-08-17 06:20:08+00:00,"((0, 145, 'GERMAN', 'de'),)",And that's what a free-minded person asks of all things ... It can never be a misincentive if as many citizens as possible can afford an EFH!
348,Hilfe vor Ort ist mehrfach zielführender und effizienter statt Afghanen zu uns zu holen. Personen aus einem derart fremden Kulturkreis lassen sich praktisch nicht integrieren … Zudem: Wieviele Talibans würden bei so einer Aktion wohl miteingeschleust?,2021-08-17 06:15:04+00:00,"((0, 255, 'GERMAN', 'de'),)","On-site assistance is more targeted and efficient than bringing Afghans to us. People from such a foreign culture cannot be practically integrated ... In addition, how many Talibans would be involved in such an action?"
349,"Das Schöne an solchen Forderungen ist, das niemals ein Sozialist für die Folgen geradestehen wird, kann und muss …",2021-08-16 17:17:22+00:00,"((0, 118, 'GERMAN', 'de'),)","The beauty of such demands, which a socialist will never face for the consequences, can and must ..."
350,… Sie scheinen die Idee nicht verstanden zu haben …,2021-08-11 08:36:21+00:00,"((0, 55, 'GERMAN', 'de'),)",... you don't seem to have understood the idea ...
351,"Nein, absolut unehrlich ist die Salamitaktik, mit welcher nach der eingetragenen Partnerschaft immer weitere Forderungen gestellt werden!",2021-08-11 08:09:16+00:00,"((0, 137, 'GERMAN', 'de'),)","No, absolutely dishonest is the Salamitaktik, with which more and more demands are made after the registered partnership!"
352,Das wird dann zwangsläufig die nächste Forderung sein - mit jeder Garantie,2021-08-11 07:28:15+00:00,"((0, 76, 'GERMAN', 'de'),)",This will inevitably be the next demand - with every guarantee
353,"Aber …. wenn Samenspenden erlaubt werden, Leihmutterschaft aber verboten bleibt - dann sind doch Schwule echt benachteiligt?",2021-08-11 07:03:42+00:00,"((0, 126, 'GERMAN', 'de'),)","But .... if sperm donations are allowed, but surrogacy is forbidden - then gays are really disadvantaged?"
354,"Wenn nun mit diesem Gesetz Samenspenden erlaubt werden, sind Schwule immer noch nicht gleichberechtigt - die Leihmutterschaft wird die nächste Forderung sein …",2021-08-11 06:49:57+00:00,"((0, 162, 'GERMAN', 'de'),)","If sperm donations are allowed with this law, gays are still not equal - surrogacy will be the next demand ..."
355,Jetzt im Ernst: Die Impfung ist für Sie also wie eine Gurte im Auto?,2021-08-10 12:29:54+00:00,"((0, 69, 'GERMAN', 'de'),)",Seriously: So the vaccination is like a belt in the car for you?
356,"Wenn auch nur die Hälfte derer, die hier regelmässig behaupten, sie hätten vorher SVP gewählt, dies auch getan hätten, wären wir wohl über 50% Wähleranteil gekommen …",2021-08-10 12:27:11+00:00,"((0, 176, 'GERMAN', 'de'),)","If only half of those who regularly claim that they had previously voted for SVP would have done so, we would probably have had more than 50% voter share ..."
357,Ist ja einfach unglaublich!,2021-08-10 09:37:39+00:00,"((0, 27, 'GERMAN', 'de'),)",It's incredible!
358,"Jedes Restaurant, jeden Wirt, jedes Mitglied des Gastroverbandes welche ein Zertifikat fordern, sollten wir alle gnadenlos boykottieren!",2021-08-09 06:56:52+00:00,"((0, 136, 'GERMAN', 'de'),)","Every restaurant, every host, every member of the Gastroverband, who demands a certificate, we should boycott all mercilessly!"
359,Sie belieben zu scherzen … 🤣,2021-08-04 18:55:49+00:00,"((0, 33, 'GERMAN', 'de'),)",You like to joke...
360,"Wieso sagen uns deutsche Gören, was wir hier zu tun haben? Würden diese Klimachaoten nicht besser in Deutschland aufräumen helfen?",2021-08-03 16:22:50+00:00,"((0, 133, 'GERMAN', 'de'),)",Why do German brats tell us what we have to do here? Wouldn't these climate chaoss better help clean up in Germany?
361,Was wissen Sie von meinen Tätigkeiten und meinem Arbeitspensum?,2021-08-02 14:20:15+00:00,"((0, 64, 'GERMAN', 'de'),)",What do you know about my activities and my workload?
362,Die Klimachaoten operieren vom alten Hardturmstadion aus - warum wird dieses Nest nicht geräumt?,2021-08-02 14:18:53+00:00,"((0, 97, 'GERMAN', 'de'),)",The climate chaos operates from the old Hardturmstadion - why is this nest not cleared?
363,Also sind es Demo-Touristen? Kann man die mieten?,2021-08-02 09:43:39+00:00,"((0, 49, 'GERMAN', 'de'),)",So they're demo tourists? Can you rent them?
364,Wieso krähen die Klimakommunisten beim Paradeplatz eigentlich auf englisch? Und wieso sind die nicht am Arbeiten?,2021-08-02 06:39:39+00:00,"((0, 114, 'GERMAN', 'de'),)",Why are the climate communists crowing at Paradeplatz in English? And why aren't they working?
365,"Feier des Schweizervereins Ungarn in Budapest - die damaligen, echten Flüchtlinge waren dankbar und sind es heute noch - ganz im Gegenteil zu den Wirtschaftsmigranten von heute …",2021-07-31 13:37:32+00:00,"((0, 181, 'GERMAN', 'de'),)","Celebration of the Swiss Association Hungary in Budapest - the then, genuine refugees were grateful and still are - quite the opposite to the economic migrants of today ..."
366,Ist Ihnen langweilig? Diese Geschichte ist längst widerlegt und die Story des Tagi-Journis ist in sich zusammengebrochen. Er wurde anschliessend zum Magazin strafversetzt …,2021-07-30 07:36:05+00:00,"((0, 175, 'GERMAN', 'de'),)",Are you bored? This story has long since been refuted and the story of the Tagi-Journis has collapsed. He was then sentenced to the magazine ...
367,Mit der Terrorsusi bleibt es die Hetzcourage!,2021-07-27 18:55:19+00:00,"((0, 45, 'GERMAN', 'de'),)",With the Terrorsusi it remains the Hetzcourage!
368,Treten Sie bitte den Gegenbeweis an !,2021-07-26 23:18:58+00:00,"((0, 37, 'GERMAN', 'de'),)",Please take the counter-evidence!
369,Bisher wurden laut zuständiger EU-Datenbank 19.000 Tote nach Corona-Impfung gemeldet — die Dunkelziffer ist unbekannt … warum schweigen unsere Medien hierzu?,2021-07-26 22:27:58+00:00,"((0, 162, 'GERMAN', 'de'),)","So far, according to the EU database responsible, 19,000 deaths have been reported after Corona vaccination — the dark figure is unknown ... why are our media silent on this?"
370,"Rechtschreibung gilt hier doch umso mehr! Ausser natürlich für solche, die sie nicht beherrschen …",2021-07-26 19:28:06+00:00,"((0, 102, 'GERMAN', 'de'),)","Spelling is all the more valid here! Except, of course, for those who do not control it ..."
371,Wenn Sie auf eine sehr unglückliche Geschichte vor über 30 Jahren anspielen - welche ich im Übrigen selbst öffentlich gemacht habe … werden Sie glücklich damit …,2021-07-26 19:26:57+00:00,"((0, 170, 'GERMAN', 'de'),)",If you point to a very unfortunate story over 30 years ago - which I made public myself by the way ... you will be happy with it ...
372,"Und: Herr Köppel hat - ganz im Gegensatz zu den meisten Linken und Grünen -  noch einen anständigen Beruf, welcher seine Anwesenheit erfordert!",2021-07-26 18:30:11+00:00,"((0, 146, 'GERMAN', 'de'),)","And: Mr Köppel - quite unlike most of the left and the Greens - still has a decent profession, which requires his presence!"
373,Wann habe ich je eine Sitzung versäumt ?,2021-07-26 18:28:40+00:00,"((0, 41, 'GERMAN', 'de'),)",When have I ever missed a meeting ?
374,Dann lassen Sie sich bitte behandeln!,2021-07-26 18:27:52+00:00,"((0, 37, 'GERMAN', 'de'),)",Then please let us treat you.
